Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
9,Chase Elliott,8,4,2,1,1,30,8.4,12,96,84,33,34.38,12,45,83.3,5,9.3,54,121.0,49
5,Kyle Larson,2,14,4,2,1,20,7.2,2,61,59,51,83.61,3,49,90.7,4,7.4,54,122.8,47
22,Joey Logano,6,19,6,3,1,30,6.6,17,77,60,36,46.75,2,49,90.7,14,25.9,54,124.6,44
42,Ross Chastain,20,23,8,4,1,31,9.8,18,86,68,41,47.67,3,43,79.6,4,7.4,54,110.0,36
16,AJ Allmendinger,7,17,12,5,2,27,13.6,18,93,75,41,44.09,1,33,61.1,0,0.0,54,92.7,0
14,Chase Briscoe,27,12,13,6,4,35,12.4,23,85,62,44,51.76,0,43,79.6,0,0.0,54,92.8,37
34,Michael McDowell,23,32,11,7,1,32,10.9,45,88,43,37,42.05,2,36,66.7,3,5.6,54,107.9,39
48,Alex Bowman,12,8,1,8,1,36,14.8,5,69,64,27,39.13,0,33,61.1,3,5.6,54,87.2,30
8,Tyler Reddick,1,7,16,9,1,28,14.5,-2,91,93,26,28.57,0,28,51.9,0,0.0,54,76.2,36
18,Kyle Busch,4,2,3,10,1,25,6.8,8,90,82,42,46.67,9,45,83.3,12,22.2,54,114.7,39
24,William Byron,5,26,19,11,3,38,18.4,-31,75,106,29,38.67,0,26,48.2,0,0.0,54,82.5,26
3,Austin Dillon,16,5,9,12,5,33,19.1,-1,82,83,14,17.07,0,21,38.9,0,0.0,54,68.5,25
17,Chris Buescher,28,25,18,13,3,38,16.1,15,74,59,27,36.49,0,33,61.1,0,0.0,54,76.5,29
11,Denny Hamlin,19,6,5,14,3,38,14.9,15,85,70,20,23.53,0,30,55.6,0,0.0,54,74.2,23
37,Ryan Preece,36,1,20,15,1,36,11.9,31,86,55,28,32.56,0,37,68.5,2,3.7,54,79.2,26
43,Erik Jones,29,16,23,16,9,37,20.3,6,83,77,13,15.66,0,12,22.2,0,0.0,54,65.8,21
12,Ryan Blaney,9,22,24,17,9,39,22.8,7,74,67,12,16.22,0,14,25.9,0,0.0,54,63.2,20
38,Anthony Alfredo,37,18,7,18,6,37,21.6,-8,83,91,11,13.25,0,7,13.0,0,0.0,54,58.5,19
2,Brad Keselowski,24,15,27,19,9,34,21.7,13,87,74,17,19.54,0,12,22.2,0,0.0,54,56.8,18
7,Corey Lajoie,25,9,26,20,5,32,18.3,1,86,85,10,11.63,0,21,38.9,0,0.0,54,63.2,23
96,Ty Dillon,33,10,28,21,8,38,22.3,-38,73,111,10,13.7,0,11,20.4,0,0.0,54,49.7,0
47,Ricky Stenhouse Jr,22,27,14,22,3,35,21.3,11,73,62,16,21.92,1,20,37.0,0,0.0,54,61.5,15
21,Matt DiBenedetto,21,11,15,23,6,37,16.7,-5,73,78,26,35.62,0,23,42.6,0,0.0,54,68.2,15
6,Ryan Newman,34,21,25,24,7,36,22.4,-23,90,113,14,15.56,0,12,22.2,0,0.0,54,47.2,13
33,Austin Cindric,3,3,17,25,1,30,10.4,-15,55,70,18,32.73,0,37,68.5,4,7.4,54,74.6,0
10,Aric Almirola,26,20,22,26,10,39,22.7,9,88,79,7,7.95,0,7,13.0,0,0.0,54,50.8,11
1,Kurt Busch,13,13,10,27,2,27,12.1,-10,67,77,39,58.21,0,36,66.7,0,0.0,54,76.5,18
53,Garrett Smithley,38,24,31,28,16,40,28.2,-26,63,89,0,0,0,0,0.0,0,0.0,54,37.7,0
15,James Davison,32,33,32,29,12,39,32.0,14,49,35,2,4.08,0,1,1.9,0,0.0,54,45.3,8
52,Josh Bilicki,31,31,30,30,15,40,29.7,-5,66,71,1,1.52,0,1,1.9,0,0.0,54,49.7,7
78,Kyle Tilley,39,29,29,31,16,39,30.2,2,66,64,0,0,0,0,0.0,0,0.0,54,44.8,6
51,Cody Ware,35,28,21,32,14,40,27.9,-14,68,82,0,0,0,4,7.4,0,0.0,53,52.2,0
99,Daniel Suarez,15,37,33,33,15,40,35.3,-6,26,32,0,0,0,0,0.0,0,0.0,46,49.3,4
00,Quin Houff,40,30,34,34,23,40,33.2,-4,39,43,0,0,0,0,0.0,0,0.0,38,30.7,3
19,Martin Truex Jr,17,34,35,35,1,27,25.4,12,37,25,20,54.05,0,13,24.1,3,12.5,24,74.3,2
41,Cole Custer,14,35,36,36,14,37,30.4,14,59,45,1,1.69,0,1,1.9,0,0.0,24,42.0,1
4,Kevin Harvick,11,36,37,37,11,34,33.2,-25,29,54,1,3.45,0,0,0.0,0,0.0,19,32.5,1
20,Christopher Bell,10,38,38,38,6,22,29.8,-21,34,55,16,47.06,1,13,24.1,0,0.0,18,52.0,1
23,Bubba Wallace,18,39,39,39,2,36,30.5,-33,26,59,11,42.31,0,11,20.4,0,0.0,18,68.2,1
77,Justin Haley,30,40,40,40,14,39,36.5,-30,28,58,5,17.86,0,3,5.6,0,0.0,12,34.0,0
